dept,applicant.gender,admitted,school_score
A,male,1,0.4946578213464377
A,male,1,0.5535015313038681
A,male,1,0.8393046927031966
A,male,1,0.8052901424591772
A,male,1,0.5696252398301646
A,male,1,0.3092029051247545
A,male,1,0.3625373591932793
A,male,1,0.1499716323198762
A,male,1,0.93616484913059
A,male,1,0.8530334955035495
A,male,1,0.5369920377232864
A,male,1,0.6337996136666294
A,male,1,0.2453263400499719
A,male,1,0.2959868937164183
A,male,1,0.4882604171362041
A,male,1,0.8887235602720763
A,male,1,0.5737030710502161
A,male,1,0.7253889566694646
A,male,1,0.2131057708930018
A,male,1,0.5858458322808401
A,male,1,0.4766131125773044
A,male,1,0.1165076017011167
A,male,1,0.9033341954393616
A,male,1,0.8613789801085532
A,male,1,0.8135809389955982
A,male,1,0.3041738709182421
A,male,1,0.7504654490029127
A,male,1,0.7052415949305892
A,male,1,0.0838329943789838
A,male,1,0.0240692862782456
A,male,1,0.03941765399517
A,male,1,0.1123612070963996
A,male,1,0.8882466864974942
A,male,1,0.5699451315409958
A,male,1,0.7758692326782536
A,male,1,0.3439358202787804
A,male,1,0.7490131958713835
A,male,1,0.6593289210883627
A,male,1,0.6128232939502299
A,male,1,0.5524253740598889
A,male,1,0.0640217669930824
A,male,1,0.8879127090826174
A,male,1,0.8877106576368139
A,male,1,0.0830303846279725
A,male,1,0.2710561701333112
A,male,1,0.6923037664041356
A,male,1,0.2692030752946671
A,male,1,0.5090052741554842
A,male,1,0.3432964932617054
A,male,1,0.8021002149662488
A,male,1,0.7106808778609977
A,male,1,0.3960439988396588
A,male,1,0.4231269471327109
A,male,1,0.5866825346318217
A,male,1,0.3578172171871442
A,male,1,0.865262151824126
A,male,1,0.2348920004816085
A,male,1,0.0576841489090061
A,male,1,0.8217786641514835
A,male,1,0.7581795008143217
A,male,1,0.0401888158218329
A,male,1,0.2883115836596019
A,male,1,0.2108727982514914
A,male,1,0.5972959533021803
A,male,1,0.2440092960617603
A,male,1,0.1777354978887989
A,male,1,0.2733375459679901
A,male,1,0.8741949395863412
A,male,1,0.0037646993160527
A,male,1,0.3849952067967072
A,male,1,0.0179146261324222
A,male,1,0.1849561159676873
A,male,1,0.8649983778875534
A,male,1,0.3088263820766493
A,male,1,0.1637183964711384
A,male,1,0.7517169942884802
A,male,1,0.998651244243669
A,male,1,0.0161229123027421
A,male,1,0.3257083304172923
A,male,1,0.3698142547481078
A,male,1,0.2132694456762469
A,male,1,0.15252674862523
A,male,1,0.6648732935707458
A,male,1,0.9554519335797962
A,male,1,0.7110282315078227
A,male,1,0.2861029683059335
A,male,1,0.2639562974272056
A,male,1,0.1624346917353885
A,male,1,0.5560389571328347
A,male,1,0.6762552220372128
A,male,1,0.5706070786872393
A,male,1,0.7424666186005353
A,male,1,0.97655264134341
A,male,1,0.0678341157004183
A,male,1,0.7413589899784372
A,male,1,0.6765267959204415
A,male,1,0.0255300584929115
A,male,1,0.4083951332012717
A,male,1,0.2934061265964286
A,male,1,0.0219592859515438
A,male,1,0.7666007961647971
A,male,1,0.6539957649333725
A,male,1,0.1757974424389866
A,male,1,0.8735979328983496
A,male,1,0.2164366126390382
A,male,1,0.2626329787895571
A,male,1,0.4371835326573993
A,male,1,0.3776050685616376
A,male,1,0.4249530922503798
A,male,1,0.8896459046398718
A,male,1,0.26871108583332
A,male,1,0.3772263428236726
A,male,1,0.0160650541943978
A,male,1,0.6641123793599767
A,male,1,0.2361073416446146
A,male,1,0.5657042482907122
A,male,1,0.8403699190357561
A,male,1,0.3887744021537582
A,male,1,0.348056870256754
A,male,1,0.6029180234277861
A,male,1,0.7226894236039517
A,male,1,0.4590911062222723
A,male,1,0.3040703832670414
A,male,1,0.1980949132842024
A,male,1,0.2670222715034401
A,male,1,0.9419404058812216
A,male,1,0.0230500217583728
A,male,1,0.9607182656734582
A,male,1,0.6144427665623526
A,male,1,0.3245610929119374
A,male,1,0.8672383498166987
A,male,1,0.8205612171416748
A,male,1,0.7470943701611227
A,male,1,0.9733913078826516
A,male,1,0.4921772757806835
A,male,1,0.2661219700789564
A,male,1,0.4053840476976204
A,male,1,0.6143286216596459
A,male,1,0.1299670476501114
A,male,1,0.0201533201463154
A,male,1,0.4569683099495742
A,male,1,0.2990614543194086
A,male,1,0.0763808414788507
A,male,1,0.6498175777802135
A,male,1,0.5467138834805083
A,male,1,0.665732472944753
A,male,1,0.8405131044096937
A,male,1,0.1207921360457116
A,male,1,0.5069487172252635
A,male,1,0.0413307947983345
A,male,1,0.2397621569854827
A,male,1,0.7950287585598248
A,male,1,0.1256744854298767
A,male,1,0.2416111031360879
A,male,1,0.012173592500788
A,male,1,0.634328360030575
A,male,1,0.6443144598632984
A,male,1,0.7390918990723572
A,male,1,0.3344433579225241
A,male,1,0.9201896816993386
A,male,1,0.0167829220214998
A,male,1,0.0050670304128964
A,male,1,0.414149039748653
A,male,1,0.5711629682005335
A,male,1,0.6263098505076096
A,male,1,0.8502815354387135
A,male,1,0.6048264051244058
A,male,1,0.8312409275369944
A,male,1,0.4786985703771593
A,male,1,0.7919890795109631
A,male,1,0.924223015745752
A,male,1,0.3793809580649536
A,male,1,0.0674793900212202
A,male,1,0.64496024939207
A,male,1,0.8325164493424896
A,male,1,0.1859436332710744
A,male,1,0.7558179025293441
A,male,1,0.37895582480524
A,male,1,0.2505071771169281
A,male,1,0.4250143643264
A,male,1,0.1822907046986435
A,male,1,0.4980940743795833
A,male,1,0.3583729168895621
A,male,1,0.5689264766749
A,male,1,0.0759585372053436
A,male,1,0.9862024658661462
A,male,1,0.7457529408153837
A,male,1,0.6220730938649873
A,male,1,0.074420879840751
A,male,1,0.7061353140204905
A,male,1,0.3051371824341011
A,male,1,0.8248514874123234
A,male,1,0.1986962153806166
A,male,1,0.8694806648318519
A,male,1,0.8498027184558333
A,male,1,0.8153018610728343
A,male,1,0.2808118002166651
A,male,1,0.0358748578936924
A,male,1,0.1190520551791077
A,male,1,0.632571682707021
A,male,1,0.5794885608260845
A,male,1,0.3620532233967276
A,male,1,0.6447829749035447
A,male,1,0.1125388273473164
A,male,1,0.9471185178181054
A,male,1,0.3076959868647763
A,male,1,0.2228634161029125
A,male,1,0.632275038104201
A,male,1,0.130923407327046
A,male,1,0.0651872998418918
A,male,1,0.3041652181832864
A,male,1,0.5996523854506632
A,male,1,0.4119114766647591
A,male,1,0.5232648860084604
A,male,1,0.7053493154221372
A,male,1,0.1370672911353837
A,male,1,0.4649991894417996
A,male,1,0.564722806510391
A,male,1,0.693037623032982
A,male,1,0.0304809148565275
A,male,1,0.4830084396208112
A,male,1,0.906951547042779
A,male,1,0.2417310427359412
A,male,1,0.5309159030536464
A,male,1,0.7977373808998943
A,male,1,0.4533887235378923
A,male,1,0.3347231085443887
A,male,1,0.8579012885516827
A,male,1,0.6025484747709408
A,male,1,0.568516480874291
A,male,1,0.0511982848931056
A,male,1,0.3099325134961829
A,male,1,0.2610838721286239
A,male,1,0.6136718079521724
A,male,1,0.7478275114844796
A,male,1,0.0380544829812364
A,male,1,0.2145390838186865
A,male,1,0.9597361737394714
A,male,1,0.4533354058520545
A,male,1,0.0641625679978361
A,male,1,0.1680435891857982
A,male,1,0.376725700521671
A,male,1,0.0648632685884487
A,male,1,0.7133184889040265
A,male,1,0.7036790318587909
A,male,1,0.4617543994758488
A,male,1,0.9446487892611024
A,male,1,0.8960781812752467
A,male,1,0.6846299198179924
A,male,1,0.5281939554170038
A,male,1,0.7851521020074655
A,male,1,0.0748448545196526
A,male,1,0.8132316945067194
A,male,1,0.0162222616895831
A,male,1,0.2831714397928659
A,male,1,0.4282579632439171
A,male,1,0.0436081975605401
A,male,1,0.8779278059928556
A,male,1,0.558400924538167
A,male,1,0.962581736029988
A,male,1,0.6785697499846692
A,male,1,0.2457229436398507
A,male,1,0.7195742434840317
A,male,1,0.4436122174439308
A,male,1,0.6412116710217867
A,male,1,0.4734144121654259
A,male,1,0.2520157481809963
A,male,1,0.8583878756876797
A,male,1,0.2346819804277256
A,male,1,0.7058578653837988
A,male,1,0.8425617280752477
A,male,1,0.6415796664549288
A,male,1,0.92223103692804
A,male,1,0.2578891976971873
A,male,1,0.5994404676367313
A,male,1,0.5406422998159799
A,male,1,0.3388588752291432
A,male,1,0.5980740758495748
A,male,1,0.122979259586625
A,male,1,0.6723354042085006
A,male,1,0.0400847746607884
A,male,1,0.0730744329907151
A,male,1,0.8268013286096925
A,male,1,0.3497433200919511
A,male,1,0.7641163308059044
A,male,1,0.7557292984554008
A,male,1,0.7765948388015401
A,male,1,0.4711229119761382
A,male,1,0.590405004315253
A,male,1,0.0532683279682932
A,male,1,0.2143453624353649
A,male,1,0.0509990364392443
A,male,1,0.1178085201244378
A,male,1,0.0360250109404177
A,male,1,0.304887638870282
A,male,1,0.112785727380328
A,male,1,0.2730253935489072
A,male,1,0.9284684027213151
A,male,1,0.3263463308360962
A,male,1,0.6199459631460761
A,male,1,0.9127142291860182
A,male,1,0.9628066246615624
A,male,1,0.813482426580312
A,male,1,0.5793694724849635
A,male,1,0.7031067467362837
A,male,1,0.1499902591508783
A,male,1,0.6651966225209639
A,male,1,0.0689440312810295
A,male,1,0.0888180625516147
A,male,1,0.5715372496313463
A,male,1,0.3458412765645661
A,male,1,0.2160050099242658
A,male,1,0.3398594202324744
A,male,1,0.525731732339708
A,male,1,0.385674712915775
A,male,1,0.9843657384247442
A,male,1,0.797348338069288
A,male,1,0.272972715391477
A,male,1,0.330981513759272
A,male,1,0.1493544961284969
A,male,1,0.5788762364173462
A,male,1,0.9053338564234908
A,male,1,0.0182852289747388
A,male,1,0.5180955034473668
A,male,1,0.9737675778226528
A,male,1,0.5221654485687984
A,male,1,0.6730627350582733
A,male,1,0.1170511547176339
A,male,1,0.9805785689277304
A,male,1,0.8269522370406058
A,male,1,0.2410604639624123
A,male,1,0.582479778146658
A,male,1,0.0814021177043288
A,male,1,0.1736622626969569
A,male,1,0.7658459461008214
A,male,1,0.0861917657727215
A,male,1,0.4948893627860834
A,male,1,0.1918217652846737
A,male,1,0.2019754919752656
A,male,1,0.5473727186275987
A,male,1,0.608522804231607
A,male,1,0.2287028350748177
A,male,1,0.8983154006292724
A,male,1,0.6382144344211902
A,male,1,0.0302647900010984
A,male,1,0.2530014758185657
